"pid","location","lat","lon"
128,"412 BURR ST",41.260449,-72.893022
129,"416 BURR ST",41.260678,-72.8931489
130,"420 BURR ST",41.260834,-72.893179
131,"434 BURR ST",41.260971,-72.893311
132,"440 BURR ST",41.260988,-72.89305
133,"408 BURR ST",41.2610295,-72.8928682
134,"428 BURR ST",41.2610569,-72.8926979
135,"44 LAURA LA",41.2610348,-72.8925001
136,"675 TOWNSEND AV #116",41.262487,-72.892437
137,"675 TOWNSEND AV #117",41.262227,-72.892532
138,"675 TOWNSEND AV #118",41.262106,-72.892537
139,"675 TOWNSEND AV #119",41.261985,-72.892531
140,"675 TOWNSEND AV #120",41.261862,-72.892533
141,"675 TOWNSEND AV #121",41.261734,-72.892529
142,"675 TOWNSEND AV #132",41.2615917,-72.8924043
143,"675 TOWNSEND AV #133",41.261398,-72.892341
144,"675 TOWNSEND AV #134",41.2613828,-72.8925261
145,"675 TOWNSEND AV #135",41.261414,-72.892702
146,"675 TOWNSEND AV #136",41.261413,-72.8929069
147,"675 TOWNSEND AV #137",41.2613239,-72.8930666
148,"675 TOWNSEND AV #138",41.261727,-72.893044
149,"675 TOWNSEND AV #139",41.261238,-72.893407
150,"675 TOWNSEND AV #140",41.261365,-72.8934979
151,"675 TOWNSEND AV #141",41.261504,-72.893539
152,"675 TOWNSEND AV #142",41.261621,-72.893603
153,"675 TOWNSEND AV #143",41.261777,-72.893584
154,"675 TOWNSEND AV #154",41.261898,-72.8938529
155,"675 TOWNSEND AV #155",41.262088,-72.893973
156,"675 TOWNSEND AV #156",41.262078,-72.893348
157,"675 TOWNSEND AV #157",41.262229,-72.893426
158,"675 TOWNSEND AV #158",41.262298,-72.893157
159,"675 TOWNSEND AV #159",41.2624271,-72.8929603
160,"675 TOWNSEND AV #160",41.2624489,-72.8927903
161,"675 TOWNSEND AV #161",41.262437,-72.892644
162,"675 TOWNSEND AV #162",41.262456,-72.892571
163,"675 TOWNSEND AV #163",41.2621333,-72.8908423
164,"675 TOWNSEND AV #164",41.2617822,-72.8908611
165,"675 TOWNSEND AV #165",41.2617709,-72.891059
166,"675 TOWNSEND AV #166",41.261787,-72.891457
167,"675 TOWNSEND AV #167",41.2617766,-72.891248
168,"675 TOWNSEND AV #168",41.261762,-72.891795
169,"675 TOWNSEND AV #169",41.261916,-72.891869
170,"675 TOWNSEND AV #170",41.262021,-72.891874
171,"675 TOWNSEND AV #171",41.262132,-72.8918769
172,"675 TOWNSEND AV #178",41.262057,-72.891619
173,"675 TOWNSEND AV #179",41.262061,-72.8914719
174,"675 TOWNSEND AV #180",41.262062,-72.891324
175,"675 TOWNSEND AV #181",40.6004643,-73.752093
176,"675 TOWNSEND AV #190",41.2621217,-72.8910489
177,"675 TOWNSEND AV #191",41.2632153,-72.8907961
178,"675 TOWNSEND AV #192",41.2628778,-72.8908093
179,"675 TOWNSEND AV #193",41.262725,-72.890896
180,"675 TOWNSEND AV #186",41.2624455,-72.8908256
181,"675 TOWNSEND AV #187",41.2624482,-72.891052
182,"675 TOWNSEND AV #188",41.262523,-72.891283
183,"675 TOWNSEND AV #189",41.2624262,-72.8915424
184,"675 TOWNSEND AV #182",41.26244,-72.891887
185,"675 TOWNSEND AV #183",41.2626224,-72.8919697
186,"675 TOWNSEND AV #184",41.2627347,-72.8920382
187,"675 TOWNSEND AV #185",41.26281,-72.8917419
188,"675 TOWNSEND AV #176",41.2629277,-72.8915955
189,"675 TOWNSEND AV #177",41.262904,-72.891381
190,"675 TOWNSEND AV #172",41.2630954,-72.8911418
191,"675 TOWNSEND AV #173",41.263142,-72.890938
192,"675 TOWNSEND AV #174",40.6004643,-73.752093
193,"675 TOWNSEND AV #175",40.6004643,-73.752093
194,"675 TOWNSEND AV #152",40.6004643,-73.752093
195,"675 TOWNSEND AV #153",41.2565189,-72.8932883
196,"675 TOWNSEND AV #148",41.2595529,-72.893141
197,"675 TOWNSEND AV #149",41.259434,-72.893077
198,"675 TOWNSEND AV #150",41.259326,-72.893012
199,"675 TOWNSEND AV #151",41.259219,-72.892956
200,"675 TOWNSEND AV #144",41.259107,-72.892892
201,"675 TOWNSEND AV #145",41.258989,-72.892824
202,"675 TOWNSEND AV #146",41.258867,-72.892747
203,"675 TOWNSEND AV #147",41.2587509,-72.892746
204,"675 TOWNSEND AV #128",41.2586609,-72.89272
205,"675 TOWNSEND AV #129",41.258557,-72.892733
206,"675 TOWNSEND AV #130",41.25845,-72.89279
207,"675 TOWNSEND AV #131",41.258349,-72.89279
208,"675 TOWNSEND AV #126",41.258216,-72.892821
209,"675 TOWNSEND AV #127",41.258057,-72.892854
210,"675 TOWNSEND AV #122",41.257888,-72.892857
211,"675 TOWNSEND AV #123",41.257733,-72.892937
212,"675 TOWNSEND AV #124",41.257366,-72.893027
213,"675 TOWNSEND AV #125",40.6004643,-73.752093
214,"675 TOWNSEND AV #112",41.257416,-72.891313
215,"675 TOWNSEND AV #113",41.257181,-72.891198
216,"675 TOWNSEND AV #114",41.2741667,-72.896459
217,"675 TOWNSEND AV #115",41.257034,-72.891113
218,"675 TOWNSEND AV #108",41.256922,-72.891096
219,"675 TOWNSEND AV #109",41.256806,-72.8911
220,"675 TOWNSEND AV #110",41.256687,-72.891148
221,"675 TOWNSEND AV #111",41.256582,-72.891244
222,"675 TOWNSEND AV #104",41.2564629,-72.891314
223,"675 TOWNSEND AV #105",41.256334,-72.891388
224,"675 TOWNSEND AV #106",41.256206,-72.891466
225,"675 TOWNSEND AV #107",41.256082,-72.891543
226,"675 TOWNSEND AV #101",41.255957,-72.891614
227,"675 TOWNSEND AV #102",41.256104,-72.892045
228,"675 TOWNSEND AV #103",41.25623,-72.8919729
229,"108 LAURA LA",41.25639,-72.891875
230,"102 LAURA LA",40.6004643,-73.752093
231,"96 LAURA LA",41.256579,-72.891763
232,"LAURA LA",41.256727,-72.891676
233,"LAURA LA",41.256849,-72.891604
234,"86 LAURA LA",41.256989,-72.891542
235,"80 LAURA LA",41.257135,-72.8914914
236,"76 LAURA LA",41.257295,-72.891425
237,"72 LAURA LA",41.2584665,-72.8921184
238,"68 LAURA LA",41.2582961,-72.8920724
239,"62 LAURA LA",41.2581877,-72.8919453
240,"56 LAURA LA",41.2741667,-72.896459
241,"50 LAURA LA",41.2580953,-72.8918718
242,"46 LAURA LA",41.2578918,-72.8917849
243,"42 LAURA LA",41.257752,-72.891994
244,"38 LAURA LA",41.257581,-72.891851
245,"32 LAURA LA",41.2574443,-72.891883
246,"24 LAURA LA",41.25732,-72.891989
247,"16 LAURA LA",41.25719,-72.892056
248,"10 LAURA LA",41.257008,-72.892159
249,"4 LAURA LA",41.2570175,-72.8925096
250,"115 LAURA LA",41.2572092,-72.8924316
251,"107 LAURA LA",41.2573689,-72.8923807
252,"101 LAURA LA",41.257502,-72.892352
253,"95 LAURA LA",41.2576411,-72.8923133
